Dates,Pollster,Sponsor,Sample,Influence,Approve,RollingWeightedApprove
2025-06-30,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-30,YouGov,Yahoo News,"1,597 A@@1597",0,41.61495,41.30330
2025-06-30,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,45.38024,41.30330
2025-06-30,YouGov,Economist,"1,648 A@@1648",0,43.61495,41.30330
2025-06-29,Morning Consult,,"2,202 RV@@2202",0,45.62464,41.30330
2025-06-28,TIPP Insights,Issues & Insights,"1,421 A@@1421",0,44.82496,41.30330
2025-06-27,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-26,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-26,The Tyson Group,,"1,027 A@@1027",0,44.92893,41.30330
2025-06-26,Targoz Market Research,Overton Insights,"1,200 RV@@1200",0,43.1853,41.30330
2025-06-26,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-06-25,Emerson College,,"1,000 RV@@1000",0,44.45829,41.30330
2025-06-25,Marist College,NPR | PBS News,"1,381 A@@1381",0,44.02982,41.30330
2025-06-25,John Zogby Strategies,,"1,006 LV@@1006",0,44.67634,41.30330
2025-06-25,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-25,American Pulse Research & Polling,,633 RV@@633,0,48.37593,41.30330
2025-06-24,Quinnipiac University,,979 RV@@979,0,43.53584,41.30330
2025-06-24,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-23,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-23,Ipsos,Reuters,"1,139 A@@1139",0,43.02571,41.30330
2025-06-23,YouGov,Economist,"1,590 A@@1590",0,41.61495,41.30330
2025-06-22,Morning Consult,,"2,205 RV@@2205",0,43.62464,41.30330
2025-06-22,Ipsos,Reuters,"1,144 A@@1144",0,43.02571,41.30330
2025-06-20,Trafalgar Group,,"1,085 LV@@1085",0,51.28903,41.30330
2025-06-20,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-20,American Research Group,,"1,100 A@@1100",0,40.79819,41.30330
2025-06-20,The Bullfinch Group,Exiled Policy,"1,223 A@@1223",0,41.6516,41.30330
2025-06-19,Gallup,,"1,000 A@@1000",0,42.02891,41.30330
2025-06-19,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,48.83949,41.30330
2025-06-19,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-18,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-18,Echelon Insights,,"1,002 LV@@1002",0,47.055,41.30330
2025-06-17,J.L. Partners,,"1,039 RV@@1039",0,46.10332,41.30330
2025-06-17,Echelon Insights,,982 LV@@982,0,44.055,41.30330
2025-06-17,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-16,InsiderAdvantage,,"1,000 LV@@1000",0,50.87902,41.30330
2025-06-16,Ipsos,Reuters,"4,258 A@@4258",0,44.02571,41.30330
2025-06-16,Beacon Research/Shaw & Co. Research,FOX News,"1,003 RV@@1003",0,45.43835,41.30330
2025-06-16,YouGov,Economist,"1,512 A@@1512",0,42.61495,41.30330
2025-06-16,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-15,Morning Consult,,"2,207 RV@@2207",0,44.62464,41.30330
2025-06-15,McLaughlin & Associates,America's New Majority Project,"2,000 RV@@2000",0,45.25003,41.30330
2025-06-14,Clarity Campaign Labs,,"1,000 RV@@1000",0,46.05738,41.30330
2025-06-14,The Winston Group,Winning the Issues,"1,000 RV@@1000",0,42.74494,41.30330
2025-06-13,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-12,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,47.83949,41.30330
2025-06-12,Harris Insights & Analytics,Harvard CAPS,"2,097 RV@@2097",0,44.54302,41.30330
2025-06-12,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-06-12,Verasight,Strength in Numbers,"1,500 A@@1500",0,43.01431,41.30330
2025-06-11,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-06-11,TIPP Insights,League of American Workers,"1,584 RV@@1584",0,43.82496,41.30330
2025-06-11,J.L. Partners,,"1,807 RV@@1807",0,42.10332,41.30330
2025-06-10,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-10,SurveyMonkey,NBC News,"19,410 A@@19410",0,45.15535,41.30330
2025-06-09,Quinnipiac University,,"1,265 RV@@1265",0,40.53584,41.30330
2025-06-09,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,42.38024,41.30330
2025-06-09,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-09,Morning Consult,,"35,946 A@@35946",0,48.43464,41.30330
2025-06-09,AP-NORC,,"1,158 A@@1158",0,41.28137,41.30330
2025-06-09,YouGov,Economist,"1,533 A@@1533",0,44.61495,41.30330
2025-06-08,Morning Consult,,"1,867 RV@@1867",0,45.62464,41.30330
2025-06-08,Pew Research Center,,"5,044 A@@5044",0,42.88805,41.30330
2025-06-06,J.L. Partners,Daily Mail,"1,006 RV@@1006",0,43.10332,41.30330
2025-06-06,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-06,YouGov,CBS News,"2,428 A@@2428",0,46.61495,41.30330
2025-06-05,PureSpectrum,,"30,967 A@@30967",0,39.92407,41.30330
2025-06-05,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-06-04,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-06-03,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-06-03,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-02,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-06-02,YouGov,Economist,"1,610 A@@1610",0,46.61495,41.30330
2025-06-02,Morning Consult,,"2,205 RV@@2205",0,44.62464,41.30330
2025-06-01,Trafalgar Group,,"1,098 LV@@1098",0,50.58903,41.30330
2025-05-30,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-05-30,TIPP Insights,Issues & Insights,"1,395 A@@1395",0,43.82496,41.30330
2025-05-29,John Zogby Strategies,,"1,000 LV@@1000",0,47.47634,41.30330
2025-05-29,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,44.83949,41.30330
2025-05-29,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-05-28,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-05-28,Wick,2Way,"1,000 RV@@1000",0,46.68094,41.30330
2025-05-27,AtlasIntel,,"3,469 A@@3469",0,44.06828,41.30330
2025-05-27,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-05-27,YouGov,Yahoo News,"1,560 A@@1560",0,42.61495,41.30330
2025-05-26,YouGov,Economist,"1,660 A@@1660",0,45.61495,41.30330
2025-05-26,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-05-25,Morning Consult,,"2,208 RV@@2208",0,46.62464,41.30330
2025-05-23,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-05-22,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-05-21,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-05-21,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,43.83949,41.30330
2025-05-20,Civiqs,Daily Kos,"1,018 RV@@1018",0,46.56337,41.30330
2025-05-20,American Research Group,,"1,100 A@@1100",0,43.79819,41.30330
2025-05-20,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-05-19,InsiderAdvantage,,"1,000 LV@@1000",0,51.07902,41.30330
2025-05-19,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-05-19,Fabrizio Ward,Pinpoint Policy Institute,800 RV@@800,0,45.93021,41.30330
2025-05-19,YouGov,Economist,"1,710 A@@1710",0,44.61495,41.30330
2025-05-19,Morning Consult,,"2,208 RV@@2208",0,46.62464,41.30330
2025-05-18,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,44.38024,41.30330
2025-05-18,Gallup,,"1,003 A@@1003",0,45.02891,41.30330
2025-05-18,Ipsos,Reuters,"1,024 A@@1024",0,44.02571,41.30330
2025-05-16,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-05-16,YouGov,,"1,118 A@@1118",0,45.61495,41.30330
2025-05-15,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-05-15,Marquette University Law School,,"1,004 A@@1004",0,45.78012,41.30330
2025-05-15,Harris Insights & Analytics,Harvard CAPS,"1,903 RV@@1903",0,45.54302,41.30330
2025-05-15,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,47.83949,41.30330
2025-05-14,J.L. Partners,Daily Mail,"1,003 RV@@1003",0,45.10332,41.30330
2025-05-14,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-05-13,The Bullfinch Group,,"1,200 A@@1200",0,45.6516,41.30330
2025-05-13,Ipsos,Reuters,"1,163 A@@1163",0,46.02571,41.30330
2025-05-13,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-05-12,YouGov,Economist,"1,786 A@@1786",0,44.61495,41.30330
2025-05-12,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-05-12,Echelon Insights,,"1,000 LV@@1000",0,45.055,41.30330
2025-05-11,Morning Consult,,"2,221 RV@@2221",0,44.62464,41.30330
2025-05-09,Wick,2Way,"1,000 RV@@1000",0,46.68094,41.30330
2025-05-09,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-05-09,co/efficient,,"1,462 LV@@1462",0,48.08217,41.30330
2025-05-08,Morning Consult,,"34,159 A@@34159",0,44.86464,41.30330
2025-05-08,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-05-08,YouGov,,"1,143 A@@1143",0,43.61495,41.30330
2025-05-08,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,44.83949,41.30330
2025-05-07,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-05-06,Verasight,Strength in Numbers,"1,000 A@@1000",0,41.01431,41.30330
2025-05-06,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-05-05,AP-NORC,,"1,175 LV@@1175",0,43.28137,41.30330
2025-05-05,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-05-05,YouGov,Economist,"1,850 A@@1850",0,43.61495,41.30330
2025-05-04,Morning Consult,,"2,263 RV@@2263",0,44.62464,41.30330
2025-05-04,Rasmussen Reports,Heartland Institute,"1,067 LV@@1067",0,44.56205,41.30330
2025-05-03,High Point University,,"1,000 A@@1000",0,42.83036,41.30330
2025-05-02,TIPP Insights,,"1,400 A@@1400",0,42.82496,41.30330
2025-05-02,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-05-02,YouGov,,"2,220 A@@2220",0,43.61495,41.30330
2025-05-01,Trafalgar Group/Insider Advantage,,"1,200 LV@@1200",0,44.02127,41.30330
2025-05-01,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,44.83949,41.30330
2025-05-01,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-30,Wick,2Way,"1,000 RV@@1000",0,42.68094,41.30330
2025-04-30,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-30,Lord Ashcroft Polls,,"10,000 A@@10000",0,44.66098,41.30330
2025-04-29,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-04-28,YouGov,Economist,"1,785 A@@1785",0,43.61495,41.30330
2025-04-28,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,44.38024,41.30330
2025-04-28,YouGov,Yahoo News,"1,597 A@@1597",0,43.61495,41.30330
2025-04-28,J.L. Partners,Daily Mail,"1,006 RV@@1006",0,41.10332,41.30330
2025-04-28,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-04-28,Emerson College,,"1,000 RV@@1000",0,44.25829,41.30330
2025-04-27,Morning Consult,,"2,224 RV@@2224",0,43.62464,41.30330
2025-04-27,NewsNation,,"1,448 RV@@1448",0,44.17906,41.30330
2025-04-27,Ipsos,Reuters,"1,029 A@@1029",0,44.02571,41.30330
2025-04-25,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-04-25,YouGov,CBS News,"2,365 A@@2365",0,46.61495,41.30330
2025-04-24,SSRS,CNN,"1,678 A@@1678",0,42.11805,41.30330
2025-04-24,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-04-24,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,44.83949,41.30330
2025-04-24,The Bullfinch Group,,"1,200 A@@1200",0,46.6516,41.30330
2025-04-24,The New York Times/Siena College,,913 RV@@913,0,42.38463,41.30330
2025-04-23,YouGov,The Times of London,"1,296 A@@1296",0,43.61495,41.30330
2025-04-23,Marist College,NPR | PBS News,"1,439 A@@1439",0,43.02982,41.30330
2025-04-23,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-04-23,John Zogby Strategies,,"1,000 V@@1000",0,47.27634,41.30330
2025-04-22,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-22,YouGov,Economist,"1,625 A@@1625",0,42.61495,41.30330
2025-04-22,Ipsos,The Washington Post | ABC News,"2,464 A@@2464",0,41.02571,41.30330
2025-04-21,Beacon Research/Shaw & Co. Research,FOX News,"1,104 RV@@1104",0,43.43835,41.30330
2025-04-21,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-21,Ipsos,Reuters,"4,306 A@@4306",0,44.02571,41.30330
2025-04-21,AP-NORC,,"1,260 A@@1260",0,41.28137,41.30330
2025-04-20,SurveyMonkey,NBC News,"19,682 A@@19682",0,45.15535,41.30330
2025-04-20,American Research Group,,"1,100 A@@1100",0,45.79819,41.30330
2025-04-20,Morning Consult,,"2,207 RV@@2207",0,44.62464,41.30330
2025-04-19,McLaughlin & Associates,America's New Majority Project,"2,000 RV@@2000",0,46.25003,41.30330
2025-04-18,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-04-18,OH Predictive Insights,Center Square,"2,527 RV@@2527",0,43.29945,41.30330
2025-04-17,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-04-17,YouGov,Elon University,"1,000 A@@1000",0,42.61495,41.30330
2025-04-16,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,43.83949,41.30330
2025-04-16,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-15,YouGov,Economist,"1,512 A@@1512",0,43.61495,41.30330
2025-04-15,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-15,Civiqs,Daily Kos,"1,124 RV@@1124",0,45.56337,41.30330
2025-04-14,Clarity Campaign Labs,,"1,008 RV@@1008",0,45.05738,41.30330
2025-04-14,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-14,J.L. Partners,Daily Mail,"1,002 RV@@1002",0,48.10332,41.30330
2025-04-14,Echelon Insights,,"1,014 LV@@1014",0,46.055,41.30330
2025-04-14,AtlasIntel,,"2,347 A@@2347",0,45.66828,41.30330
2025-04-14,Gallup,,"1,006 A@@1006",0,46.02891,41.30330
2025-04-13,Hart Research Associates/Public Opinion Strategies,CNBC,"1,000 A@@1000",0,43.77336,41.30330
2025-04-13,Morning Consult,,"2,203 RV@@2203",0,43.62464,41.30330
2025-04-13,Pew Research Center,,"3,589 A@@3589",0,41.88805,41.30330
2025-04-12,RealClear Opinion Research,,"1,000 RV@@1000",0,44.3435,41.30330
2025-04-11,YouGov,CBS News,"2,410 A@@2410",0,48.61495,41.30330
2025-04-11,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-04-10,The Winston Group,Winning the Issues,"1,000 RV@@1000",0,40.74494,41.30330
2025-04-10,Harris Insights & Analytics,Harvard CAPS,"2,286 RV@@2286",0,46.54302,41.30330
2025-04-10,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,44.83949,41.30330
2025-04-10,YouGov,,"1,151 A@@1151",0,42.61495,41.30330
2025-04-10,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-04-09,TIPP Insights,League of American Workers,"1,570 RV@@1570",0,43.82496,41.30330
2025-04-09,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-04-09,University of Massachusetts (Amherst),WCVB-TV,"1,000 A@@1000",0,45.181,41.30330
2025-04-08,YouGov,Economist,"1,741 A@@1741",0,44.61495,41.30330
2025-04-08,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-04-07,Rasmussen Reports,,"1,500 LV@@1500",0,43.56205,41.30330
2025-04-07,Morning Consult,,"32,875 A@@32875",0,46.42464,41.30330
2025-04-07,Quinnipiac University,,"1,407 RV@@1407",0,43.53584,41.30330
2025-04-07,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,44.38024,41.30330
2025-04-07,Harris Insights & Analytics,,"1,883 RV@@1883",0,45.54302,41.30330
2025-04-06,Morning Consult,,"2,207 RV@@2207",0,44.62464,41.30330
2025-04-04,Rasmussen Reports,,"1,500 LV@@1500",0,44.56205,41.30330
2025-04-03,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,46.83949,41.30330
2025-04-03,J.L. Partners,Daily Mail,"1,019 RV@@1019",0,47.10332,41.30330
2025-04-03,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-04-03,Cygnal,,"1,500 LV@@1500",0,46.61921,41.30330
2025-04-02,Rasmussen Reports,,"1,500 LV@@1500",0,45.56205,41.30330
2025-04-02,Ipsos,Reuters,"1,468 A@@1468",0,45.02571,41.30330
2025-04-01,Fabrizio Lee & Associates/Impact Research,Wall Street Journal,"1,500 RV@@1500",0,45.81487,41.30330
2025-04-01,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-04-01,YouGov,Economist,"1,626 A@@1626",0,47.61495,41.30330
2025-04-01,YouGov,Economist,"1,626 A@@1626",0,47.61495,41.30330
2025-03-31,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-31,John Zogby Strategies,,"1,000 V@@1000",0,47.27634,41.30330
2025-03-30,Morning Consult,,"2,210 RV@@2210",0,45.62464,41.30330
2025-03-28,Targoz Market Research,Overton Insights,"1,200 RV@@1200",0,46.1853,41.30330
2025-03-28,YouGov,CBS News,"2,609 A@@2609",0,51.61495,41.30330
2025-03-28,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-28,TIPP Insights,,"1,452 A@@1452",0,44.82496,41.30330
2025-03-27,J.L. Partners,Daily Mail,"1,001 RV@@1001",0,45.10332,41.30330
2025-03-27,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-27,Marquette University Law School,,"1,021 A@@1021",0,45.78012,41.30330
2025-03-27,RMG Research,Napolitan News Service,"2,000 RV@@2000",0,47.83949,41.30330
2025-03-27,Harris Insights & Analytics,Harvard CAPS,"2,746 RV@@2746",0,47.54302,41.30330
2025-03-26,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-25,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-03-25,YouGov,Economist,"1,600 A@@1600",0,49.61495,41.30330
2025-03-24,YouGov,Yahoo News,"1,677 A@@1677",0,45.61495,41.30330
2025-03-24,AP-NORC,,"1,229 A@@1229",0,44.28137,41.30330
2025-03-24,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-23,GBAO,Third Way,"2,000 RV@@2000",0,47.52821,41.30330
2025-03-23,Morning Consult,,"2,206 RV@@2206",0,45.62464,41.30330
2025-03-23,Ipsos,Reuters,"1,030 A@@1030",0,47.02571,41.30330
2025-03-21,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-03-20,Public Religion Research Institute,,"5,025 A@@5025",0,44.18615,41.30330
2025-03-20,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-20,American Research Group,,"1,100 A@@1100",0,47.79819,41.30330
2025-03-19,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-19,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,48.83949,41.30330
2025-03-18,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-18,Remington Research Group,Humanity for Freedom Foundation,800 LV@@800,0,49.15876,41.30330
2025-03-18,YouGov,Economist,"1,618 A@@1618",0,46.61495,41.30330
2025-03-17,Beacon Research/Shaw & Co. Research,FOX News,994 RV@@994,0,48.43835,41.30330
2025-03-17,North Star Opinion Research,Defending Democracy Together,"1,000 RV@@1000",0,46.2679,41.30330
2025-03-17,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,47.38024,41.30330
2025-03-17,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-16,Morning Consult,,"2,210 RV@@2210",0,46.62464,41.30330
2025-03-16,Gallup,,"1,002 A@@1002",0,45.02891,41.30330
2025-03-14,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-14,Blueprint Polling,,"1,400 LV@@1400",0,45.61543,41.30330
2025-03-13,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-03-13,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,49.83949,41.30330
2025-03-13,Echelon Insights,,"1,007 LV@@1007",0,48.055,41.30330
2025-03-12,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-03-12,Ipsos,Reuters,"1,422 A@@1422",0,46.02571,41.30330
2025-03-12,AtlasIntel,,"2,550 A@@2550",0,46.86828,41.30330
2025-03-11,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-11,Hart Research Associates/Public Opinion Strategies,NBC News,"1,000 RV@@1000",0,46.77336,41.30330
2025-03-11,YouGov,Economist,"1,699 A@@1699",0,48.61495,41.30330
2025-03-10,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-10,Quinnipiac University,,"1,198 RV@@1198",0,44.53584,41.30330
2025-03-10,Emerson College,,"1,000 RV@@1000",0,46.75829,41.30330
2025-03-09,Morning Consult,,"2,219 RV@@2219",0,47.62464,41.30330
2025-03-09,SSRS,CNN,"1,206 A@@1206",0,46.11805,41.30330
2025-03-09,Clarity Campaign Labs,,"1,036 RV@@1036",0,49.05738,41.30330
2025-03-07,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-07,McLaughlin & Associates,America's New Majority Project,"2,000 RV@@2000",0,49.05004,41.30330
2025-03-07,J.L. Partners,Daily Mail,"1,019 RV@@1019",0,45.10332,41.30330
2025-03-06,TIPP Insights,League of American Workers,"1,720 RV@@1720",0,43.82496,41.30330
2025-03-06,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-06,Trafalgar Group/Insider Advantage,,800 RV@@800,0,47.72127,41.30330
2025-03-06,RMG Research,Napolitan News Service,"2,000 RV@@2000",0,46.83949,41.30330
2025-03-05,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-05,Morning Consult,,"34,217 A@@34217",0,47.36464,41.30330
2025-03-05,Cygnal,,"1,500 LV@@1500",0,47.01921,41.30330
2025-03-04,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-03-04,YouGov,Economist,"1,638 A@@1638",0,49.61495,41.30330
2025-03-04,Ipsos,Reuters,"1,174 A@@1174",0,46.02571,41.30330
2025-03-03,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-03-03,Emerson College,,"1,000 RV@@1000",0,47.55828,41.30330
2025-03-03,Civiqs,Daily Kos,"1,031 RV@@1031",0,47.56337,41.30330
2025-03-02,Public Opinion Strategies,Paragon Health Institute,"1,000 RV@@1000",0,50.05285,41.30330
2025-03-02,Morning Consult,,"2,229 RV@@2229",0,47.62464,41.30330
2025-03-02,The Justice Research Fund,Working Families Power,"2,049 RV@@2049",0,47.24888,41.30330
2025-03-01,John Zogby Strategies,,"1,001 V@@1001",0,46.97634,41.30330
2025-02-28,TIPP Insights,Issues & Insights,"1,434 A@@1434",0,46.82496,41.30330
2025-02-28,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,48.83949,41.30330
2025-02-28,YouGov,CBS News,"2,311 A@@2311",0,52.61495,41.30330
2025-02-28,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-02-28,SSRS,CNN,"2,212 A@@2212",0,49.11805,41.30330
2025-02-27,AtlasIntel,,"2,849 A@@2849",0,49.86828,41.30330
2025-02-26,The Bullfinch Group,Independent Center,"1,200 A@@1200",0,47.6516,41.30330
2025-02-26,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-02-26,Marist College,NPR | PBS News,"1,694 A@@1694",0,46.02982,41.30330
2025-02-25,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-02-25,J.L. Partners,DailyMail.com,"1,001 RV@@1001",0,45.10332,41.30330
2025-02-25,YouGov,Economist,"1,604 A@@1604",0,49.61495,41.30330
2025-02-25,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-02-24,Global Strategy Group/GBAO (Navigator Research),,"1,000 RV@@1000",0,48.38024,41.30330
2025-02-24,YouGov,Hoover Institution,"1,645 A@@1645",0,48.61495,41.30330
2025-02-24,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-02-24,Morning Consult,,"2,225 RV@@2225",0,48.62464,41.30330
2025-02-23,Ipsos,Reuters,"1,029 A@@1029",0,46.02571,41.30330
2025-02-21,RMG Research,Napolitan News Service,"3,000 RV@@3000",0,48.83949,41.30330
2025-02-21,Rasmussen Reports,,"1,500 LV@@1500",0,46.56205,41.30330
2025-02-20,Rasmussen Reports,,"1,500 LV@@1500",0,47.56205,41.30330
2025-02-20,Echelon Insights,NetChoice,"1,006 LV@@1006",0,47.055,41.30330
2025-02-20,Harris Insights & Analytics,Harvard CAPS,"2,443 RV@@2443",0,50.54302,41.30330
2025-02-20,American Research Group,,"1,100 A@@1100",0,45.79819,41.30330
2025-02-20,YouGov,,"1,137 A@@1137",0,49.61495,41.30330
2025-02-19,Rasmussen Reports,,"1,500 LV@@1500",0,48.56205,41.30330
2025-02-19,OnMessage Inc.,Rescuing the American Dream,"1,000 LV@@1000",0,49.51688,41.30330
2025-02-18,Rasmussen Reports,,"1,500 LV@@1500",0,49.56205,41.30330
2025-02-18,McLaughlin & Associates,,"1,000 LV@@1000",0,49.65004,41.30330
2025-02-18,Ipsos,Reuters,"4,145 A@@4145",0,46.02571,41.30330
2025-02-18,YouGov,Economist,"1,603 A@@1603",0,51.61495,41.30330
2025-02-18,YouGov,,"1,135 A@@1135",0,47.61495,41.30330
2025-02-18,Ipsos,The Washington Post,"2,601 A@@2601",0,47.02571,41.30330
2025-02-17,SSRS,CNN,"1,206 A@@1206",0,48.11805,41.30330
